producto|categoria|cantidad|precio|total|medio_pago|fecha_venta|ciudad|fecha_alta_cli|mes|cuatrimestre|anio_cuatrimestre
SERVILLETAS X100|0|3|4520|13560|0|2024-02-19|3|2023-02-08|2024-02|1|2024-C1
YERBA MATE INTENSA 1KG|1|2|4883|9766|3|2024-02-09|3|2023-02-11|2024-02|1|2024-C1
SALSA DE TOMATE 500G|1|4|887|3548|3|2024-02-09|3|2023-02-11|2024-02|1|2024-C1
HELADO DE FRUTILLA 1L|1|4|1981|7924|0|2024-01-29|1|2023-03-31|2024-01|1|2024-C1
CERVEZA NEGRA 1L|1|3|1533|4599|0|2024-01-29|1|2023-03-31|2024-01|1|2024-C1
DESODORANTE AEROSOL|0|3|4690|14070|0|2024-01-29|1|2023-03-31|2024-01|1|2024-C1
GALLETITAS CHOCOLATE|1|1|1305|1305|2|2024-03-06|3|2023-02-10|2024-03|1|2024-C1
DESENGRASANTE 500ML|0|2|2843|5686|2|2024-03-06|3|2023-02-10|2024-03|1|2024-C1
RON 700ML|1|5|3876|19380|2|2024-02-25|3|2023-01-26|2024-02|1|2024-C1
TÉ NEGRO 20 SAQUITOS|1|1|570|570|2|2024-02-25|3|2023-01-26|2024-02|1|2024-C1
ACEITUNAS VERDES 200G|1|3|2520|7560|1|2024-02-23|1|2023-03-24|2024-02|1|2024-C1
VINO BLANCO 750ML|1|1|2684|2684|1|2024-02-23|1|2023-03-24|2024-02|1|2024-C1
CAFÉ MOLIDO 250G|1|2|2053|4106|1|2024-02-23|1|2023-03-24|2024-02|1|2024-C1
AZÚCAR 1KG|1|3|727|2181|1|2024-02-23|1|2023-03-24|2024-02|1|2024-C1
CHICLE MENTA|1|5|3612|18060|0|2024-06-16|3|2023-02-08|2024-06|2|2024-C2
DULCE DE LECHE 400G|1|1|2559|2559|0|2024-06-16|3|2023-02-08|2024-06|2|2024-C2
FANTA NARANJA 1.5L|1|3|2033|6099|0|2024-06-16|3|2023-02-08|2024-06|2|2024-C2
PAPAS FRITAS CLÁSICAS 100G|1|4|936|3744|3|2024-01-12|2|2023-02-12|2024-01|1|2024-C1
MIEL PURA 250G|1|1|4982|4982|3|2024-01-12|2|2023-02-12|2024-01|1|2024-C1
PAPAS FRITAS ONDULADAS 100G|1|1|1868|1868|3|2024-01-12|2|2023-02-12|2024-01|1|2024-C1
QUESO UNTABLE 190G|1|3|1830|5490|3|2024-01-12|2|2023-02-12|2024-01|1|2024-C1
HELADO CHOCOLATE 1L|1|5|1215|6075|3|2024-03-13|1|2023-02-20|2024-03|1|2024-C1
TÉ VERDE 20 SAQUITOS|1|3|2383|7149|2|2024-06-08|1|2023-03-10|2024-06|2|2024-C2
QUESO RALLADO 150G|1|4|3444|13776|2|2024-06-08|1|2023-03-10|2024-06|2|2024-C2
CARAMELOS MASTICABLES|1|2|4752|9504|2|2024-06-08|1|2023-03-10|2024-06|2|2024-C2
SERVILLETAS X100|0|1|4520|4520|2|2024-06-08|1|2023-03-10|2024-06|2|2024-C2
YERBA MATE SUAVE 1KG|1|4|3878|15512|2|2024-06-08|1|2023-03-10|2024-06|2|2024-C2
TURRÓN 50G|1|4|503|2012|0|2024-03-28|5|2023-03-13|2024-03|1|2024-C1
VERDURAS CONGELADAS MIX|1|3|4289|12867|0|2024-03-29|0|2023-01-18|2024-03|1|2024-C1
DULCE DE LECHE 400G|1|3|2559|7677|0|2024-03-29|0|2023-01-18|2024-03|1|2024-C1
HAMBURGUESAS CONGELADAS X4|1|5|2420|12100|0|2024-03-11|3|2023-02-08|2024-03|1|2024-C1
SALSA DE TOMATE 500G|1|5|887|4435|0|2024-03-11|3|2023-02-08|2024-03|1|2024-C1
TURRÓN 50G|1|1|503|503|0|2024-03-11|3|2023-02-08|2024-03|1|2024-C1
FERNET 750ML|1|1|4061|4061|0|2024-03-11|3|2023-02-08|2024-03|1|2024-C1
MASCARILLA CAPILAR|0|2|1581|3162|2|2024-06-17|5|2023-03-27|2024-06|2|2024-C2
VINO BLANCO 750ML|1|3|2684|8052|2|2024-06-17|5|2023-03-27|2024-06|2|2024-C2
VINO BLANCO 750ML|1|5|2684|13420|2|2024-06-17|5|2023-03-27|2024-06|2|2024-C2
TÉ VERDE 20 SAQUITOS|1|2|2383|4766|3|2024-02-06|0|2023-01-01|2024-02|1|2024-C1
FANTA NARANJA 1.5L|1|4|2033|8132|3|2024-02-06|0|2023-01-01|2024-02|1|2024-C1
CARAMELOS MASTICABLES|1|2|4752|9504|3|2024-02-06|0|2023-01-01|2024-02|1|2024-C1
ACEITUNAS NEGRAS 200G|1|4|2394|9576|3|2024-02-06|0|2023-01-01|2024-02|1|2024-C1
SALSA DE TOMATE 500G|1|5|887|4435|3|2024-02-06|0|2023-01-01|2024-02|1|2024-C1
CALDO CONCENTRADO CARNE|1|3|2570|7710|3|2024-03-24|3|2023-03-23|2024-03|1|2024-C1
JUGO DE MANZANA 1L|1|4|3269|13076|0|2024-05-21|0|2023-01-14|2024-05|2|2024-C2
CAFÉ MOLIDO 250G|1|2|2053|4106|0|2024-05-21|0|2023-01-14|2024-05|2|2024-C2
TÉ NEGRO 20 SAQUITOS|1|4|570|2280|0|2024-05-21|0|2023-01-14|2024-05|2|2024-C2
AGUA MINERAL 500ML|1|4|4777|19108|0|2024-05-21|0|2023-01-14|2024-05|2|2024-C2
TOALLAS HÚMEDAS X50|0|4|2902|11608|1|2024-03-25|0|2023-01-09|2024-03|1|2024-C1
QUESO RALLADO 150G|1|1|3444|3444|3|2024-06-04|4|2023-03-05|2024-06|2|2024-C2
WHISKY 750ML|1|1|2953|2953|3|2024-06-04|4|2023-03-05|2024-06|2|2024-C2
PAN LACTAL BLANCO|1|2|1571|3142|3|2024-06-04|4|2023-03-05|2024-06|2|2024-C2
ARROZ LARGO FINO 1KG|1|5|2979|14895|3|2024-06-04|4|2023-03-05|2024-06|2|2024-C2
JUGO DE NARANJA 1L|1|1|4170|4170|0|2024-05-19|3|2023-04-02|2024-05|2|2024-C2
CHICLE MENTA|1|3|3612|10836|0|2024-05-19|3|2023-04-02|2024-05|2|2024-C2
LIMPIAVIDRIOS 500ML|0|4|872|3488|0|2024-02-12|5|2023-02-17|2024-02|1|2024-C1
CEPILLO DE DIENTES|0|3|2142|6426|0|2024-02-12|5|2023-02-17|2024-02|1|2024-C1
PAN LACTAL BLANCO|1|2|1571|3142|0|2024-02-12|5|2023-02-17|2024-02|1|2024-C1
BIZCOCHOS SALADOS|1|4|2380|9520|0|2024-02-12|5|2023-02-17|2024-02|1|2024-C1
SHAMPOO 400ML|0|1|1407|1407|1|2024-01-19|5|2023-01-28|2024-01|1|2024-C1
PAN LACTAL INTEGRAL|1|4|272|1088|1|2024-01-19|5|2023-01-28|2024-01|1|2024-C1
SALSA DE TOMATE 500G|1|5|887|4435|1|2024-01-19|5|2023-01-28|2024-01|1|2024-C1
TÉ VERDE 20 SAQUITOS|1|2|2383|4766|1|2024-01-19|5|2023-01-28|2024-01|1|2024-C1
CHICLE MENTA|1|1|3612|3612|1|2024-01-19|5|2023-01-28|2024-01|1|2024-C1
LAVANDINA 1L|0|2|1664|3328|3|2024-03-08|5|2023-04-08|2024-03|1|2024-C1
CREMA DENTAL 90G|0|3|2512|7536|3|2024-03-08|5|2023-04-08|2024-03|1|2024-C1
ENERGÉTICA NITRO 500ML|1|1|4218|4218|2|2024-05-05|1|2023-01-16|2024-05|2|2024-C2
QUESO AZUL 150G|1|1|1645|1645|2|2024-05-05|1|2023-01-16|2024-05|2|2024-C2
YERBA MATE INTENSA 1KG|1|1|4883|4883|2|2024-05-05|1|2023-01-16|2024-05|2|2024-C2
SHAMPOO 400ML|0|5|1407|7035|2|2024-05-05|1|2023-01-16|2024-05|2|2024-C2
CREMA DENTAL 90G|0|4|2512|10048|2|2024-05-05|1|2023-01-16|2024-05|2|2024-C2
QUESO CREMOSO 500G|1|4|4834|19336|3|2024-02-16|1|2023-01-03|2024-02|1|2024-C1
LIMPIAVIDRIOS 500ML|0|5|872|4360|3|2024-02-16|1|2023-01-03|2024-02|1|2024-C1
MASCARILLA CAPILAR|0|4|1581|6324|3|2024-02-16|1|2023-01-03|2024-02|1|2024-C1
QUESO AZUL 150G|1|2|1645|3290|3|2024-02-16|1|2023-01-03|2024-02|1|2024-C1
CERVEZA RUBIA 1L|1|1|2423|2423|2|2024-03-18|1|2023-01-25|2024-03|1|2024-C1
BARRITA DE CEREAL 30G|1|2|4430|8860|2|2024-03-18|1|2023-01-25|2024-03|1|2024-C1
VINAGRE DE ALCOHOL 500ML|1|4|1195|4780|2|2024-03-18|1|2023-01-25|2024-03|1|2024-C1
JABÓN DE TOCADOR|0|5|1592|7960|2|2024-03-18|1|2023-01-25|2024-03|1|2024-C1
TOALLAS HÚMEDAS X50|0|4|2902|11608|2|2024-03-18|1|2023-01-25|2024-03|1|2024-C1
VINO TINTO MALBEC 750ML|1|4|4719|18876|1|2024-03-14|5|2023-03-13|2024-03|1|2024-C1
MIEL PURA 250G|1|2|4982|9964|1|2024-03-14|5|2023-03-13|2024-03|1|2024-C1
VINO BLANCO 750ML|1|5|2684|13420|0|2024-02-09|5|2023-03-25|2024-02|1|2024-C1
VINO BLANCO 750ML|1|3|2684|8052|0|2024-02-09|5|2023-03-25|2024-02|1|2024-C1
FERNET 750ML|1|2|4061|8122|0|2024-02-09|5|2023-03-25|2024-02|1|2024-C1
CEPILLO DE DIENTES|0|3|2142|6426|0|2024-02-09|5|2023-03-25|2024-02|1|2024-C1
AZÚCAR 1KG|1|2|727|1454|0|2024-02-09|5|2023-03-25|2024-02|1|2024-C1
FIDEOS SPAGHETTI 500G|1|5|745|3725|2|2024-02-07|1|2023-02-20|2024-02|1|2024-C1
PAN LACTAL BLANCO|1|5|1571|7855|1|2024-04-21|5|2023-03-13|2024-04|1|2024-C1
